,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
5527,5098014035,5098014032,"LINESTRING (8.478011800000001 47.384925, 8.478009500000001 47.3848554, 8.478028399999999 47.3848259, 8.4780433 47.3848025, 8.4781344 47.3847144)",residential,,26.109,Friedhofstrasse,False,50
5528,28935504,29033257,"LINESTRING (8.543722000000001 47.3777784, 8.543589600000001 47.3777481, 8.543237899999999 47.3776687, 8.543079499999999 47.3776326)",tertiary,,51.022000000000006,Im Stadtgraben,False,50
5529,28935504,48842693,"LINESTRING (8.543722000000001 47.3777784, 8.5437136 47.3778348, 8.543609 47.3786603, 8.5435657 47.3788675, 8.543523199999999 47.3790241, 8.543344299999999 47.3794415, 8.543249299999999 47.3796631)",tertiary,1,213.392,Stampfenbachstrasse,True,30
5530,28935506,5134608397,"LINESTRING (8.5429201 47.3802734, 8.5428961 47.3803202, 8.5428576 47.3803426, 8.542792800000001 47.3803626)",tertiary,1,14.693,Stampfenbachstrasse,True,50
5531,47744365,313470421,"LINESTRING (8.495487600000001 47.399413, 8.4950446 47.3995023, 8.4942961 47.3995663, 8.4934744 47.3996656, 8.493315600000001 47.3996979)",residential,,166.878,Am Giessen,False,30
5532,258377071,256156593,"LINESTRING (8.515052300000001 47.3316546, 8.5150223 47.3316403, 8.514961599999999 47.3315948, 8.514896800000001 47.3315203, 8.514666 47.3312504, 8.5143833 47.3308949)",living_street,,98.795,Tuschgenweg,False,20
5533,47744372,142525264,"LINESTRING (8.5241551 47.3922614, 8.524293200000001 47.3924183)",tertiary,2,20.309,Wipkingerplatz,True,50
5534,47744372,142498550,"LINESTRING (8.5241551 47.3922614, 8.524293399999999 47.3922193, 8.524441599999999 47.3921807, 8.5245655 47.3921305, 8.5246707 47.392089)",tertiary,1,43.403999999999996,Hönggerstrasse,True,30
5535,47744390,173494048,"LINESTRING (8.491046900000001 47.3882497, 8.4911367 47.3883615, 8.491186300000001 47.3884772, 8.4912144 47.388546, 8.4912256 47.3885733, 8.491257299999999 47.3886504, 8.491303200000001 47.388762)",tertiary,2,60.415000000000006,Luggwegstrasse,True,50
5536,47744390,47744397,"LINESTRING (8.491046900000001 47.3882497, 8.491211099999999 47.3881814, 8.491505699999999 47.3880807, 8.491554300000001 47.3880641, 8.4921685 47.3878387, 8.492831300000001 47.3875955, 8.4935724 47.3873235, 8.4939927 47.3871909, 8.4941695 47.3871414)",tertiary,,265.573,Baslerstrasse,False,30
5537,47744390,63014871,"LINESTRING (8.491046900000001 47.3882497, 8.490985 47.3881019, 8.490891100000001 47.3878617, 8.4908123 47.3876602)",tertiary,,67.89,Luggwegstrasse,False,50
5538,47744390,245989946,"LINESTRING (8.491046900000001 47.3882497, 8.4908681 47.3883242, 8.490187499999999 47.3885689, 8.489987299999999 47.388641, 8.4898902 47.3886763)",tertiary,"['3', '2']",99.18599999999999,Baslerstrasse,False,30
5539,47744397,775938705,"LINESTRING (8.4941695 47.3871414, 8.494135699999999 47.3870922, 8.4941046 47.387049, 8.4936661 47.386497, 8.493608099999999 47.3864266, 8.493158599999999 47.385873, 8.4931234 47.3858343)",unclassified,,165.33599999999998,Buckhauserstrasse,False,50
5540,47744397,63021355,"LINESTRING (8.4941695 47.3871414, 8.494186300000001 47.3871752, 8.494222199999999 47.3872313, 8.4942555 47.3872797, 8.4943273 47.3873081, 8.4944551 47.3873135, 8.494802200000001 47.3873283, 8.495218899999999 47.387346, 8.495329999999999 47.3873512, 8.4956654 47.3873669)",residential,,123.909,Mürtschenstrasse,False,50
5541,47744397,63020240,"LINESTRING (8.4941695 47.3871414, 8.4953903 47.3867915, 8.495763 47.3866774, 8.4964014 47.3864858, 8.496522499999999 47.3864487)",tertiary,,193.17600000000002,Baslerstrasse,False,30
5542,47744397,47744390,"LINESTRING (8.4941695 47.3871414, 8.4939927 47.3871909, 8.4935724 47.3873235, 8.492831300000001 47.3875955, 8.4921685 47.3878387, 8.491554300000001 47.3880641, 8.491505699999999 47.3880807, 8.491211099999999 47.3881814, 8.491046900000001 47.3882497)",tertiary,,265.573,Baslerstrasse,False,30
5543,27493789,109619769,"LINESTRING (8.5434058 47.3832696, 8.543389899999999 47.3833327)",tertiary,2,7.118,Weinbergstrasse,False,50
5544,27493789,27494470,"LINESTRING (8.5434058 47.3832696, 8.543517599999999 47.3832749, 8.5435439 47.3832759, 8.543600400000001 47.3832696, 8.543657 47.3832447, 8.544466399999999 47.3825728, 8.544665800000001 47.3824073, 8.5448088 47.3822886, 8.544893200000001 47.3822007)",residential,,168.66799999999998,Sonneggstrasse,False,30
5545,27493789,28851240,"LINESTRING (8.5434058 47.3832696, 8.543431500000001 47.3831675, 8.5434827 47.3829441, 8.5435336 47.3827219, 8.5435473 47.3826418, 8.5435654 47.3825356, 8.543605599999999 47.3823453, 8.5436964 47.3819552, 8.543765799999999 47.3815799, 8.543820800000001 47.3813436, 8.544103099999999 47.3801303, 8.544136399999999 47.3799483)",tertiary,2,373.426,Weinbergstrasse,False,50
5546,92571074,92569655,"LINESTRING (8.5467738 47.4173365, 8.547396900000001 47.4169713)",residential,,62.024,Bühlwiesenstrasse,False,30
5547,92571074,92571078,"LINESTRING (8.5467738 47.4173365, 8.5476095 47.4182039, 8.547685299999999 47.4182864, 8.547729 47.418354, 8.5477451 47.4184369, 8.5477471 47.4185162)",residential,1,152.25799999999998,Starengasse,False,30
5548,92571074,5030606701,"LINESTRING (8.5467738 47.4173365, 8.5464641 47.4175225, 8.546247299999999 47.4176544, 8.546156099999999 47.4177038)",residential,,61.883,Bühlwiesenstrasse,False,30
5549,47744453,74574330,"LINESTRING (8.503045 47.3845349, 8.5031195 47.3845927, 8.5042556 47.3854753, 8.5044927 47.3856595, 8.5045784 47.385726, 8.5048832 47.385957, 8.504966 47.3860246, 8.5050267 47.3860742)",tertiary,,227.067,Hardgutstrasse,False,
5550,47744453,453810,"LINESTRING (8.503045 47.3845349, 8.5032321 47.3844778, 8.5032844 47.3844592, 8.5040092 47.3841391, 8.5059372 47.3832876, 8.506074 47.3832167)",tertiary,,271.328,Baslerstrasse,False,30
5551,47744453,4648233965,"LINESTRING (8.503045 47.3845349, 8.5029831 47.3844873, 8.5019145 47.3836659)",residential,,128.768,Hardgutstrasse,False,
5552,47744453,84480081,"LINESTRING (8.503045 47.3845349, 8.5019422 47.3848585, 8.501692200000001 47.3849319, 8.5010858 47.3851104, 8.5010631 47.3851169, 8.5009058 47.3851627)",tertiary,,175.533,Baslerstrasse,False,30
5553,92571078,92571074,"LINESTRING (8.5477471 47.4185162, 8.5477451 47.4184369, 8.547729 47.418354, 8.547685299999999 47.4182864, 8.5476095 47.4182039, 8.5467738 47.4173365)",residential,1,152.25799999999998,Starengasse,False,30
5554,92571078,5030606703,"LINESTRING (8.5477471 47.4185162, 8.547564700000001 47.4185246, 8.547414 47.4185315, 8.547297199999999 47.4185369, 8.5471796 47.4185504, 8.547097300000001 47.4185802)",residential,1,49.925,Grünhaldenstrasse,False,30
5555,92571078,92570366,"LINESTRING (8.5477471 47.4185162, 8.548379000000001 47.418487, 8.5484729 47.4184748, 8.5485396 47.4184597)",residential,1,60.14000000000001,Grünhaldenstrasse,False,30
5556,1388545508,1588996967,"LINESTRING (8.559403 47.3759823, 8.559507200000001 47.3759869)",tertiary,2,7.863,Vorderberg,True,50
5557,316704317,27452185,"LINESTRING (8.566368199999999 47.3645625, 8.5664848 47.3644175, 8.5665391 47.3643481, 8.566641000000001 47.3641904, 8.5668153 47.3639663, 8.5668772 47.3638937)",secondary,,83.72200000000001,"['Witikonerstrasse', 'Klusplatz']",False,50
5558,316704317,343543364,"LINESTRING (8.566368199999999 47.3645625, 8.566500599999999 47.364693, 8.566578099999999 47.3647759)",residential,,28.518,Hegibachstrasse,True,50
5559,316704317,5293518968,"LINESTRING (8.566368199999999 47.3645625, 8.5663749 47.3646419, 8.566357399999999 47.3646962, 8.566314800000001 47.3647578)",secondary,,22.587,Bergstrasse,True,50
5560,316704317,3488660800,"LINESTRING (8.566368199999999 47.3645625, 8.5661696 47.3644263, 8.566058200000001 47.3643482, 8.566036799999999 47.3643344, 8.565887999999999 47.364231, 8.5658575 47.3642086, 8.5658064 47.3641703, 8.565402000000001 47.3638815, 8.5650338 47.3636794, 8.5646314 47.363511)",tertiary,2,176.35,Hegibachstrasse,False,30
