,osmid,geometry
26678671,26678671,POINT (8.553210099999999 47.3651407)
26678675,26678675,POINT (8.554165100000001 47.3652002)
107156891,107156891,POINT (8.547799700000001 47.4068388)
71308707,71308707,POINT (8.4958729 47.3937564)
27006392,27006392,POINT (8.485205199999999 47.3917112)
27006395,27006395,POINT (8.486456499999999 47.391491)
27006399,27006399,POINT (8.4853583 47.3897534)
27006400,27006400,POINT (8.484162400000001 47.390118)
27006402,27006402,POINT (8.484375699999999 47.3904336)
27006418,27006418,POINT (8.4874437 47.3912392)
27006423,27006423,POINT (8.486830100000001 47.3897756)
27006424,27006424,POINT (8.4867331 47.3890511)
27006425,27006425,POINT (8.485082500000001 47.3893327)
27006428,27006428,POINT (8.485982099999999 47.3891618)
71374298,71374298,POINT (8.5369007 47.3800273)
27006434,27006434,POINT (8.488015499999999 47.3893493)
27006435,27006435,POINT (8.4889733 47.3890076)
27006437,27006437,POINT (8.488678500000001 47.3882578)
27006443,27006443,POINT (8.4862967 47.3870297)
318641667,318641667,POINT (8.536802 47.4287308)
345052691,345052691,POINT (8.5505909 47.3817455)
93001244,93001244,POINT (8.5506812 47.4009559)
94115368,94115368,POINT (8.540955500000001 47.3824504)
313464395,313464395,POINT (8.488259599999999 47.4034083)
313464399,313464399,POINT (8.4880339 47.4030108)
313464404,313464404,POINT (8.4878249 47.4026832)
255071848,255071848,POINT (8.4944177 47.3675845)
73602677,73602677,POINT (8.5297166 47.329924)
300029568,300029568,POINT (8.541987900000001 47.3758207)
107157148,107157148,POINT (8.5482409 47.4046056)
3671332607,3671332607,POINT (8.5320749 47.3980511)
177018630,177018630,POINT (8.5247352 47.3527037)
1481512716,1481512716,POINT (8.553520300000001 47.3735816)
1481512717,1481512717,POINT (8.554597899999999 47.3738307)
1481512725,1481512725,POINT (8.5564125 47.3744097)
1481512730,1481512730,POINT (8.557331700000001 47.3745673)
142612252,142612252,POINT (8.533966700000001 47.3944108)
255858462,255858462,POINT (8.5145803 47.3668885)
1481512740,1481512740,POINT (8.5590516 47.3752026)
1481512741,1481512741,POINT (8.559203 47.3752545)
112989997,112989997,POINT (8.4997206 47.3786179)
1481512755,1481512755,POINT (8.559652 47.3758663)
1481512760,1481512760,POINT (8.560392999999999 47.376736)
1481512767,1481512767,POINT (8.562176300000001 47.377663)
1481512771,1481512771,POINT (8.5628986 47.3779898)
1481512774,1481512774,POINT (8.563787700000001 47.3788001)
1481512779,1481512779,POINT (8.564773199999999 47.379836)
1481512788,1481512788,POINT (8.567424900000001 47.3804267)
1481512790,1481512790,POINT (8.568313399999999 47.3806738)
1481512794,1481512794,POINT (8.5693834 47.3810043)
1481512800,1481512800,POINT (8.5713379 47.3816329)
36247423,36247423,POINT (8.5703852 47.3621584)
290723735,290723735,POINT (8.5204296 47.3604916)
3840874394,3840874394,POINT (8.5269753 47.3960943)
3840874405,3840874405,POINT (8.5247124 47.3936571)
3840874406,3840874406,POINT (8.5251026 47.3941784)
5183641535,5183641535,POINT (8.5467952 47.368264)
28579781,28579781,POINT (8.5112407 47.3791728)
318314437,318314437,POINT (8.532382699999999 47.376914)
28579807,28579807,POINT (8.513054800000001 47.3783996)
109909983,109909983,POINT (8.540894700000001 47.3969096)
318314466,318314466,POINT (8.5332536 47.3775309)
28579863,28579863,POINT (8.517565400000001 47.3781454)
1107564582,1107564582,POINT (8.5587038 47.408196)
27596858,27596858,POINT (8.573188699999999 47.3492213)
27596868,27596868,POINT (8.573701099999999 47.3488593)
27596897,27596897,POINT (8.570936700000001 47.3484976)
27596900,27596900,POINT (8.5727685 47.3489304)
374478952,374478952,POINT (8.531295800000001 47.3438181)
27596911,27596911,POINT (8.5716225 47.3471027)
49354881,49354881,POINT (8.5308884 47.3424519)
5251995783,5251995783,POINT (8.583747300000001 47.3583945)
142612648,142612648,POINT (8.5346191 47.3937016)
27596977,27596977,POINT (8.5670912 47.3469099)
5431564478,5431564478,POINT (8.529013600000001 47.3984733)
5435300036,5435300036,POINT (8.570682700000001 47.4054298)
104339658,104339658,POINT (8.533117300000001 47.3666146)
1586370783,1586370783,POINT (8.545873 47.3746636)
28580070,28580070,POINT (8.520639900000001 47.376869)
27597036,27597036,POINT (8.5648844 47.3494448)
27597035,27597035,POINT (8.563287499999999 47.34875)
60552190,60552190,POINT (8.531621700000001 47.3353394)
