,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
242,178095773,178095771,"LINESTRING (-107.8046550006891 37.93606807465034, -107.8047120006888 37.93593257465205, -107.804838600688 37.9356020746561)",residential,,54.266,North Pinion Street,False,
243,178088646,178095064,"LINESTRING (-107.8129441006699 37.93721517473209, -107.8130897006691 37.93684817473662)",residential,2,42.76,South Oak Street,False,
244,178104016,178104018,"LINESTRING (-107.8171285006625 37.93969697475804, -107.8167657006644 37.94049137474768)",residential,,93.888,North Davis Street,False,
245,178104016,178099784,"LINESTRING (-107.8171285006625 37.93969697475804, -107.8174301006619 37.93976437476084, -107.8179095006609 37.93988477476512)",residential,2,71.611,West Columbia Avenue,False,15 mph
246,178104016,178103724,"LINESTRING (-107.8171285006625 37.93969697475804, -107.8166844006635 37.93959117475401, -107.8152298006667 37.93921757474106)",residential,2,174.839,West Columbia Avenue,False,15 mph
247,178104018,178104016,"LINESTRING (-107.8167657006644 37.94049137474768, -107.8171285006625 37.93969697475804)",residential,,93.888,North Davis Street,False,
248,178104018,2107341264,"LINESTRING (-107.8167657006644 37.94049137474768, -107.8162958006654 37.9403716747435, -107.8161064006659 37.9403484747416, -107.8158880006664 37.94031047473951, -107.8156938006669 37.94034827473707, -107.8156184006673 37.94051547473489)",residential,,116.999,West Galena Avenue,False,
249,178104018,178097410,"LINESTRING (-107.8167657006644 37.94049137474768, -107.8171118006637 37.94060707475057, -107.8175044006629 37.94070077475409)",residential,,68.936,Galena Street,False,
250,4407089927,4407089936,"LINESTRING (-107.8017883006968 37.93651997461529, -107.8017917006968 37.9365437746151, -107.8018064006968 37.93657387461504, -107.8018279006968 37.93659607461508, -107.8019104006966 37.9366315746157, -107.8020044006964 37.9366626746165)",residential,,26.537999999999997,Primrose Lane,False,
251,4407089927,178099667,"LINESTRING (-107.8017883006968 37.93651997461529, -107.8017877006968 37.9365141746153, -107.8017930006967 37.9364844746156, -107.8018480006965 37.93635067461727, -107.8018668006964 37.93632797461765, -107.8018869006963 37.93631267461801, -107.8019124006962 37.93630097461837, -107.8019399006961 37.93629257461874, -107.801978100696 37.9362866746192, -107.802017000696 37.93628987461963, -107.8022269006955 37.93634597462147, -107.8023067006953 37.93636767462218, -107.8023515006952 37.93637757462258)",residential,,68.023,"['Primrose Lane', 'East Pandora Avenue']",False,
